ni	xi
517	4
608	10
557	7
396	3
624	8
260	2
616	7
329	2
486	7
469	4
569	5
247	0
607	6
144	3
494	5
204	2
593	6
588	5
591	13
476	2
645	4
650	9
269	2
462	7
365	1
238	6
665	7
580	13
587	10
173	1
671	9
490	11
344	5
291	3
345	1
576	5
406	3
378	2
106	0
441	2
750	10
102	2
441	6
606	10
634	6
603	7
603	4
138	2
574	3
413	7
427	1
427	3
318	5
257	1
657	8
543	8
537	3
622	6
618	10
648	2
648	6
649	12
663	16
585	10
560	7
405	4
533	1
634	5
512	6
621	4
669	10
575	11
599	7
377	4
608	4
577	5
586	13
246	4
591	7
129	0
455	3
684	3
680	2
444	1
608	4
597	10
606	7
606	2
148	1
578	4
633	5
507	9
161	1
583	12
605	6
626	13
486	1
700	6
645	5
610	5
305	7
667	8
509	3
644	9
628	9
638	4
538	7
288	4
663	10
687	7
109	1
620	6
720	6
599	8
222	3
441	4
317	3
714	9
444	2
555	9
528	10
632	5
561	9
533	1
132	2
396	4
736	8
677	11
327	7
637	5
670	3
168	1
613	3
426	3
567	1
415	4
642	3
558	4
556	7
323	5
551	5
750	12
525	5
290	4
499	5
408	3
609	5
595	5
567	18
603	3
641	9
698	6
165	1
258	6
469	5
649	7
654	5
268	1
480	16
684	9
450	7
590	8
369	3
596	9
422	8
460	2
600	10
584	4
517	7
700	8
662	6
548	7
206	1
330	5
525	7
552	7
504	5
454	7
625	6
641	5
615	10
601	9
618	11
443	2
312	1
528	5
551	2
656	6
412	4
646	13
742	8
119	1
431	4
452	10
356	1
669	8
654	5
183	2
638	4
373	3
259	9
510	6
598	9
577	8
566	9
614	7
612	9
591	8
545	2
296	3
304	2
195	1
356	4
521	8
280	4
643	5
660	9
361	5
251	3
393	4
585	11
590	6
284	6
622	9
623	10
547	3
620	7
291	5
691	10
267	3
618	11
703	7
604	15
337	2
132	0
600	6
644	13
222	4
639	5
242	3
494	4
609	6
548	10
584	4
642	1
315	2
389	4
276	3
444	5
603	5
406	6
475	6
749	9
657	6
525	3
560	8
559	7
544	3
467	1
611	5
567	6
227	3
232	6
595	5
637	7
621	10
310	5
280	3
624	9
473	11
617	12
732	11
300	2
712	6
350	7
455	7
573	5
604	4
554	9
482	13
750	7
609	11
512	4
461	2
271	1
380	7
565	14
335	3
471	5
440	7
434	13
633	10
732	5
478	4
655	4
579	6
438	7
176	1
337	4
487	5
239	2
504	6
227	3
497	7
281	3
623	3
420	3
575	12
750	5
528	11
589	6
239	5
287	2
291	3
341	4
668	6
658	10
505	8
585	14
150	2
243	10
723	12
608	3
449	5
213	3
676	15
122	2
631	8
563	2
660	8
242	4
473	7
278	10
339	4
672	14
507	11
289	9
621	9
415	3
523	4
495	10
347	3
712	12
502	3
117	0
583	3
163	3
594	7
337	4
527	16
576	5
669	5
629	11
746	19
382	5
221	2
490	5
357	9
640	6
439	11
515	7
607	8
555	7
666	6
617	8
549	7
225	4
341	6
654	13
108	0
520	3
269	1
499	12
383	5
451	5
648	5
538	8
596	4
643	8
658	6
587	7
288	9
637	4
264	6
609	5
565	7
593	11
381	6
707	15
619	6
189	1
313	6
355	2
539	5
558	9
689	16
365	5
580	11
312	3
530	13
627	8
369	5
750	7
491	7
455	7
583	13
477	2
529	5
524	9
602	10
245	3
677	18
403	3
654	3
546	5
598	5
587	10
475	13
293	3
212	4
350	2
233	5
664	4
609	13
307	9
609	8
626	4
553	6
446	11
667	9
569	7
601	9
211	3
678	4
606	13
535	6
652	12
591	4
683	10
127	1
363	2
406	3
661	7
700	5
567	7
435	5
464	7
651	5
630	12
631	9
748	6
585	10
520	7
401	5
509	4
677	9
380	3
259	5
656	5
546	10
741	12
632	6
616	5
347	3
673	8
254	1
390	3
658	8
558	7
451	5
375	5
306	4
570	3
358	0
555	3
560	16
606	7
627	11
494	8
117	1
644	8
425	6
348	5
364	11
292	3
542	7
166	1
591	3
335	2
442	6
573	13
488	10
637	7
330	1
633	6
527	14
612	7
621	4
586	17
554	7
505	10
571	20
663	8
472	5
645	4
502	9
567	9
710	6
418	4
331	5
597	3
539	5
627	14
748	9
584	11
586	9
535	3
383	5
586	9
576	5
523	12
469	6
647	5
411	6
595	13
634	7
368	2
617	9
298	3
331	10
282	6
169	3
309	2
539	6
426	14
604	10
107	2
562	8
434	3
616	10
597	4
535	7
597	9
582	4
609	4
651	7
207	1
620	5
293	5
560	13
307	3
527	5
638	7
443	7
369	0
457	9
658	16
611	6
338	7
431	3
292	2
336	6
602	8
553	13
205	2
551	8
114	1
655	4
116	2
467	5
507	7
374	1
713	7
671	9
691	11
523	6
669	6
595	4
506	2
312	5
750	15
319	3
506	2
303	4
679	7
427	2
579	4
604	4
550	5
560	2
710	5
501	3
647	14
629	16
224	4
452	9
355	10
239	5
617	4
447	4
478	11
567	7
453	6
488	7
611	10
424	12
521	8
641	16
367	10
564	10
691	6
260	4
646	10
511	1
570	7
295	3
302	4
579	16
539	9
540	6
471	6
254	4
367	1
220	4
170	2
641	11
340	1
213	0
656	5
395	4
581	5
633	5
646	8
512	6
409	3
422	2
558	3
566	5
575	13
440	6
453	4
607	6
226	3
603	3
616	6
643	16
624	5
571	5
620	14
426	8
507	8
567	10
657	5
623	11
654	6
315	2
601	9
595	10
746	10
237	7
595	11
688	9
253	1
427	4
440	10
512	5
324	8
662	24
569	7
540	10
612	7
363	5
182	1
297	7
446	5
604	10
473	7
211	3
389	5
558	11
579	11
620	5
627	10
633	7
542	1
622	4
454	8
570	15
468	6
585	6
611	14
612	5
435	5
750	10
641	9
206	0
562	6
546	3
334	4
653	8
605	7
563	6
293	5
540	7
605	19
605	9
528	4
317	6
125	0
682	7
269	3
170	4
595	4
572	8
526	7
532	6
656	12
490	1
657	5
592	6
328	2
639	4
446	5
677	7
305	6
145	1
750	8
509	3
482	5
571	4
343	3
519	2
382	6
750	8
650	6
426	11
617	3
486	9
567	5
538	10
344	9
675	16
262	3
280	3
440	4
339	5
267	2
499	5
550	5
570	5
243	4
617	11
615	9
420	2
680	6
217	2
648	2
346	1
419	3
639	8
644	5
594	11
597	5
605	3
506	5
600	8
675	11
647	7
593	8
412	0
299	6
269	1
459	13
384	7
320	3
599	4
567	21
141	1
195	2
325	5
384	3
107	0
593	6
607	13
608	11
650	5
580	3
621	7
583	14
393	9
621	7
635	11
237	1
749	7
622	5
745	2
502	7
558	6
564	6
333	2
146	1
366	3
509	5
575	0
509	7
531	6
440	4
617	3
350	3
242	4
