ni	xi
157	0
643	5
591	4
662	11
340	2
634	11
658	10
120	2
613	3
647	13
618	8
746	8
591	6
750	3
441	4
601	4
505	7
605	5
615	5
346	6
410	3
507	4
471	10
659	7
184	1
374	7
533	7
660	6
138	4
168	0
281	3
109	0
382	6
669	9
750	3
613	14
526	6
610	13
744	7
595	14
337	5
750	6
654	2
521	4
668	10
636	11
191	4
652	9
612	5
589	5
111	2
611	9
636	9
540	3
549	5
615	3
452	5
446	5
690	13
446	5
614	11
101	1
242	1
551	11
577	2
640	9
572	8
601	7
391	3
605	8
497	8
620	6
652	3
574	5
684	14
297	4
610	2
558	6
413	6
669	7
403	6
451	1
166	0
565	3
510	7
690	7
543	6
662	9
745	9
675	15
551	16
325	4
609	5
750	11
560	10
546	5
656	8
542	5
596	7
410	4
398	2
293	3
201	5
330	9
630	8
182	0
398	5
657	4
566	17
418	4
412	4
470	6
464	2
250	3
562	6
620	10
522	10
559	9
595	5
422	15
649	12
595	11
220	6
250	3
135	1
272	4
594	7
499	3
684	8
750	7
679	9
260	5
619	6
310	6
582	12
555	4
610	5
102	0
188	4
262	5
608	3
639	3
183	3
492	3
442	3
589	8
564	11
434	6
665	10
221	0
487	14
750	10
172	3
494	10
224	3
395	5
690	9
293	2
181	3
352	8
700	5
516	4
557	9
521	4
238	5
608	8
139	2
613	16
459	3
750	5
429	5
477	9
698	8
633	6
707	8
380	10
376	2
582	7
557	8
655	16
499	6
225	1
482	9
240	1
356	5
589	9
335	17
686	19
399	7
513	4
484	7
566	7
696	11
394	3
611	15
597	4
688	7
645	8
449	10
637	8
672	10
676	7
445	6
659	10
299	2
394	5
321	6
574	12
652	11
468	6
535	3
560	8
609	6
480	8
628	15
605	7
620	9
563	5
295	0
410	7
558	9
644	12
380	1
641	8
596	14
665	8
621	3
361	1
612	8
595	7
332	3
623	7
400	6
620	9
629	2
610	5
646	7
399	2
597	9
552	4
428	9
623	6
284	3
603	5
564	15
554	11
376	11
750	8
593	10
668	15
565	7
697	5
661	13
714	9
440	9
244	1
477	4
725	5
356	5
626	9
253	3
567	4
581	7
522	9
370	4
317	1
289	4
480	3
561	10
566	9
246	7
650	7
749	11
612	10
645	6
664	11
505	4
582	8
607	10
684	9
610	6
156	5
588	4
648	4
495	13
576	5
689	15
602	7
294	2
716	6
596	3
592	10
481	5
477	5
540	10
484	7
186	3
579	10
507	8
631	10
602	8
641	6
434	4
649	12
169	1
550	3
359	1
642	8
571	11
443	6
148	2
564	9
522	7
230	4
544	10
223	3
202	4
406	6
506	9
577	4
366	4
213	2
213	4
747	7
456	6
324	6
539	11
300	0
659	13
349	5
497	6
643	14
390	2
183	2
584	7
453	4
262	3
713	14
603	20
640	5
577	15
718	6
336	4
681	6
547	4
750	5
313	3
180	4
627	11
637	16
467	19
546	7
451	5
126	1
695	5
322	0
689	17
336	4
272	2
318	11
653	13
302	4
302	5
158	0
644	7
254	6
643	12
653	5
637	5
688	1
604	6
654	5
519	7
502	7
431	4
574	6
487	7
464	4
505	9
631	6
337	4
566	5
600	14
383	3
424	2
607	8
501	1
360	8
609	4
630	9
397	6
389	4
485	2
657	6
159	1
593	11
665	1
378	3
604	9
589	6
647	8
666	7
688	8
525	3
579	6
604	12
402	2
102	0
342	3
525	8
510	4
330	2
415	2
691	6
156	3
614	6
386	5
611	10
652	11
630	11
202	2
557	9
329	2
668	4
650	32
671	7
532	5
279	3
475	3
534	8
627	10
635	12
580	6
422	6
657	11
222	0
190	2
661	7
650	15
641	11
147	7
528	17
177	0
656	10
652	5
598	7
490	2
459	8
553	6
406	6
587	5
173	4
479	8
630	8
314	7
603	11
602	4
616	18
665	3
403	3
364	2
587	9
601	4
654	8
628	8
619	8
639	3
420	14
532	4
623	3
522	2
463	7
699	13
617	19
590	17
195	0
698	7
633	6
631	10
264	6
383	6
524	4
580	5
222	3
142	0
297	4
520	4
567	3
593	20
650	14
660	13
413	5
625	6
649	16
238	2
575	9
350	6
567	4
600	7
382	5
661	23
561	10
750	3
542	3
115	2
652	6
597	7
543	8
670	5
192	2
699	14
648	11
563	9
241	0
580	10
573	14
628	11
651	9
225	3
750	11
613	10
341	4
276	1
617	5
330	6
267	6
554	6
683	10
504	10
597	6
322	3
295	4
480	3
564	7
425	6
169	8
416	4
504	10
415	10
648	8
602	4
410	6
609	9
612	6
435	7
687	2
249	3
646	12
605	10
630	6
546	18
353	2
645	7
608	7
392	1
625	6
367	4
641	18
596	4
495	3
533	3
549	5
520	8
402	12
604	10
526	3
539	2
507	5
556	4
651	6
607	3
279	0
640	4
447	2
629	3
603	6
560	14
254	5
373	6
628	11
526	3
595	9
491	3
271	2
574	4
639	1
419	4
214	3
609	10
643	9
616	9
305	4
273	1
602	6
687	10
458	4
234	5
486	4
688	5
241	3
631	6
645	8
302	1
609	7
610	5
539	8
655	8
535	3
707	7
550	4
614	6
274	7
610	6
608	13
331	2
569	10
588	6
604	5
639	7
246	0
459	4
416	1
574	6
572	4
600	5
173	3
502	8
374	2
335	1
557	7
594	2
474	2
186	2
610	4
419	9
307	5
539	5
250	2
666	8
213	3
413	1
446	2
261	4
491	10
750	6
160	1
236	2
379	8
307	5
630	3
445	6
541	3
362	5
641	5
315	2
641	5
627	2
601	10
527	3
385	1
316	1
451	6
489	3
421	8
448	2
532	4
626	6
611	6
614	8
690	10
575	9
563	10
305	5
561	9
579	8
658	9
528	7
506	4
117	1
551	11
604	4
533	8
665	10
546	9
172	0
162	0
263	8
538	7
748	11
583	15
647	8
601	9
716	7
610	8
632	7
630	11
648	6
340	7
234	5
665	13
581	4
640	12
750	7
632	10
99	1
634	6
198	2
548	4
594	7
247	3
495	5
404	7
572	7
747	9
624	9
283	4
592	10
338	7
282	2
490	7
532	2
262	2
611	11
561	6
608	4
649	4
670	6
589	3
346	1
665	6
325	2
536	3
250	2
677	3
661	6
416	5
581	8
557	7
382	7
231	3
572	7
340	0
649	8
174	4
423	4
516	8
538	8
554	0
245	1
231	3
586	18
581	1
583	5
593	6
644	5
646	9
171	1
672	7
663	8
607	8
390	8
601	6
272	4
613	5
491	8
507	12
472	9
564	12
470	8
283	6
511	5
459	7
215	3
600	12
531	4
359	4
496	8
282	4
177	1
198	5
277	1
614	5
546	6
660	5
511	5
237	3
676	7
657	11
354	5
398	3
306	4
633	4
604	8
438	3
512	4
628	14
374	12
484	9
406	9
478	6
153	2
274	4
575	3
617	8
106	2
309	3
194	0
288	2
662	8
651	7
626	12
590	1
665	5
642	9
659	10
707	8
606	11
643	2
573	6
503	5
277	2
616	5
171	4
331	8
317	0
517	7
446	8
604	9
633	17
167	2
611	14
480	2
582	5
480	4
597	1
531	9
740	1
230	5
587	5
272	4
296	10
584	7
375	5
382	4
199	1
573	15
611	5
638	4
593	6
628	9
320	5
312	4
565	6
294	4
623	7
521	16
657	7
240	2
623	4
608	10
524	6
649	9
268	6
643	7
587	1
599	12
384	12
568	13
650	10
542	9
551	5
685	7
654	4
703	5
614	3
528	5
686	5
345	3
543	8
579	8
190	0
396	4
279	3
307	7
654	9
680	5
750	4
530	4
647	11
348	3
440	5
674	12
665	2
565	9
693	11
536	5
588	4
617	6
286	3
372	5
427	3
239	5
641	10
257	4
422	4
653	10
682	3
419	2
644	9
619	4
553	4
504	8
713	6
137	2
454	3
638	8
619	11
588	0
464	7
676	9
346	5
296	0
561	6
294	2
468	11
624	11
510	8
513	9
349	10
549	9
466	6
721	7
750	10
546	9
621	15
523	13
631	5
530	5
486	7
137	2
626	13
305	2
358	3
502	3
339	4
324	2
327	3
644	19
543	4
630	4
319	2
203	3
228	2
527	4
466	6
445	6
349	2
257	6
220	2
510	12
436	12
698	10
473	9
383	2
587	8
617	6
595	9
479	1
643	9
302	3
635	7
404	3
649	9
227	10
120	1
486	6
524	9
651	7
104	0
651	11
631	6
143	2
613	6
609	5
258	5
565	11
446	4
644	5
598	8
540	5
632	8
340	3
562	5
170	1
684	9
650	10
549	8
247	4
674	13
691	8
452	9
588	10
608	6
553	8
614	6
585	6
541	8
578	10
655	5
595	8
572	6
537	7
618	6
607	6
538	3
254	3
637	21
605	5
750	4
504	1
112	0
461	5
373	5
586	9
402	4
419	4
633	12
112	1
523	4
519	3
382	2
649	4
381	2
205	2
510	4
597	9
600	10
135	1
618	10
490	5
607	11
624	3
349	3
639	12
306	7
223	5
665	7
647	13
514	4
382	4
692	8
220	4
431	4
565	4
318	9
660	15
127	2
621	14
507	6
540	7
676	8
513	7
358	1
618	7
554	5
704	9
645	8
490	3
519	8
583	4
587	6
602	8
588	8
567	12
644	7
750	5
647	14
392	3
582	5
657	6
605	0
673	8
659	7
616	10
373	0
665	10
303	2
337	8
748	10
630	14
530	7
530	7
572	8
647	10
662	8
210	3
574	4
326	10
414	9
197	5
350	5
570	5
611	11
654	6
617	7
197	3
477	8
654	7
633	11
609	5
747	5
171	0
567	6
203	2
580	4
620	4
481	7
353	5
234	5
636	8
118	2
666	5
711	6
446	6
466	2
439	6
302	2
220	2
379	5
217	3
681	7
115	1
633	9
490	4
118	1
161	4
612	11
173	4
356	9
281	1
607	16
670	9
345	4
660	10
134	2
480	2
141	0
200	6
587	12
561	6
261	9
387	8
602	9
357	6
621	8
593	4
689	5
204	0
601	5
395	2
331	3
411	7
584	8
607	10
622	9
628	7
405	5
484	5
520	7
622	19
142	2
664	5
745	6
447	7
202	1
654	9
383	0
232	1
541	4
551	13
408	6
434	1
223	2
572	7
542	7
569	7
609	8
348	5
648	10
496	2
435	4
639	6
611	3
280	4
532	9
645	6
188	0
593	5
631	7
122	1
642	6
650	13
657	4
594	5
696	3
622	4
620	8
612	4
646	11
592	4
577	9
586	9
452	9
467	2
550	14
479	5
522	7
670	13
588	15
657	11
561	9
610	8
577	16
572	7
601	12
470	5
360	5
311	6
473	4
623	11
317	3
607	12
603	9
592	8
122	1
518	6
618	9
248	5
320	4
561	7
618	14
536	7
551	9
503	7
155	7
660	15
359	7
308	8
603	10
597	10
577	11
611	7
610	9
317	8
657	9
619	11
628	13
438	6
695	17
507	9
516	9
550	9
604	8
519	10
635	10
668	11
557	8
622	16
746	15
585	8
242	2
477	4
544	10
498	12
609	7
374	3
376	3
576	7
503	20
449	5
617	9
651	17
456	6
579	11
502	4
698	16
297	2
421	5
253	4
571	7
590	10
162	3
546	5
417	4
363	4
573	2
711	13
516	8
493	7
579	7
322	6
306	6
557	11
688	5
486	4
382	3
599	17
525	12
618	3
672	14
585	14
158	2
491	12
413	5
587	9
377	3
407	6
640	6
525	15
566	9
611	12
590	12
684	6
226	3
625	21
378	6
219	4
632	16
389	8
539	8
382	5
574	12
586	11
269	3
491	6
624	7
160	4
653	13
331	2
410	6
605	7
627	2
217	2
278	2
593	11
378	4
638	17
417	4
657	9
638	9
183	4
565	7
750	22
283	4
331	5
308	5
423	10
488	6
682	10
657	18
589	11
323	4
662	9
422	8
406	4
656	9
658	12
749	14
651	7
483	5
308	7
526	2
252	3
546	14
374	7
483	5
628	9
468	6
520	8
498	9
641	14
593	6
108	1
614	9
296	3
750	15
573	5
262	2
326	8
622	6
270	5
638	12
576	4
643	10
292	3
467	7
100	0
560	10
528	10
144	2
584	10
451	2
593	14
632	0
554	4
695	6
623	5
624	8
410	5
630	7
588	6
348	2
291	7
614	9
620	8
617	6
426	6
297	1
499	11
646	4
571	6
590	10
635	8
632	9
624	8
205	5
458	9
579	7
625	8
413	16
606	14
540	3
670	10
432	6
259	3
619	8
662	5
568	9
576	12
663	16
206	4
596	4
396	6
428	5
628	6
398	11
700	9
603	7
635	6
624	3
615	6
657	10
605	3
607	8
622	8
483	4
522	5
590	3
327	7
603	9
629	9
621	12
660	6
510	9
322	4
538	7
545	4
490	4
467	10
472	6
583	7
630	10
422	6
590	8
216	1
500	6
627	25
601	9
579	14
626	5
621	8
575	6
588	5
275	6
595	8
568	6
314	6
581	11
593	11
635	18
501	7
656	16
478	4
567	13
619	9
486	9
518	9
473	5
703	19
639	3
601	7
610	2
618	13
454	6
476	9
202	2
216	6
586	6
103	2
604	8
320	2
466	1
270	2
334	12
400	6
488	9
454	9
483	3
413	7
597	6
339	10
718	12
651	9
244	0
362	2
308	2
636	8
389	8
243	8
450	5
377	8
655	9
677	8
385	4
335	5
242	3
467	6
662	6
383	6
572	9
567	5
588	4
407	5
597	10
612	9
186	1
605	13
418	9
455	4
611	6
465	3
166	2
633	8
638	8
618	11
370	2
673	11
575	7
503	6
196	4
437	8
523	6
619	11
573	8
501	8
398	5
302	1
414	7
640	7
668	8
367	1
749	9
595	9
446	2
630	5
444	5
669	9
264	3
630	6
429	3
574	8
565	10
647	5
449	5
634	8
425	3
597	11
605	12
641	11
640	14
333	10
493	9
421	7
568	9
647	11
414	2
625	5
602	9
568	7
486	5
528	9
539	3
376	6
290	4
523	5
506	6
688	9
191	4
463	3
494	3
350	6
462	7
534	8
640	8
216	2
242	3
530	7
515	5
665	10
675	6
675	7
266	1
147	2
302	0
639	9
447	2
338	4
584	3
357	2
143	0
629	7
626	4
609	7
351	3
352	1
297	5
421	5
382	7
367	6
645	5
680	3
297	1
437	6
425	2
639	14
602	15
635	7
600	10
605	6
653	15
306	4
608	8
287	2
567	9
549	10
609	2
259	2
568	9
596	3
186	2
449	4
628	4
188	0
726	23
619	2
355	3
560	6
614	3
608	7
173	1
186	1
607	8
640	8
459	4
176	0
677	4
479	2
566	6
364	3
577	5
462	10
224	2
623	10
512	6
605	12
601	16
435	5
231	4
497	4
618	3
616	8
599	10
527	1
456	5
691	2
325	2
250	0
663	5
593	9
559	3
590	8
480	4
647	6
646	7
561	4
750	6
605	9
629	7
303	3
232	3
513	7
464	16
208	5
353	3
464	3
580	7
342	11
332	6
367	5
442	2
557	2
250	0
285	1
527	5
611	8
608	8
314	2
637	3
601	5
532	5
528	4
260	2
136	1
598	7
211	0
644	9
665	13
635	4
587	8
592	7
532	11
644	7
378	3
672	5
590	7
431	5
221	0
653	6
285	2
691	6
572	3
666	7
425	4
604	4
634	7
540	4
237	2
535	7
675	15
173	0
339	3
602	7
657	5
648	6
561	5
319	1
611	6
287	3
555	7
636	10
457	0
295	2
437	3
750	10
225	2
544	9
584	11
592	3
580	13
579	8
668	2
594	16
606	8
449	6
672	4
311	4
633	9
364	4
670	6
447	4
449	6
212	0
619	12
591	10
396	3
487	7
323	4
539	10
605	2
593	15
620	5
462	5
602	6
179	1
531	7
422	9
240	1
371	4
234	4
616	6
334	4
608	9
627	9
645	13
605	6
631	6
272	2
547	9
646	26
628	6
644	10
605	4
582	1
406	4
651	4
365	5
709	3
137	2
512	4
642	5
624	8
594	10
739	8
167	1
571	5
196	1
464	5
720	5
682	7
630	11
625	13
749	9
316	9
513	4
638	2
522	2
527	7
521	5
625	6
400	6
381	4
233	0
684	10
514	6
398	2
112	0
480	2
641	2
634	5
639	4
613	9
601	8
402	3
619	2
363	3
546	2
620	8
659	8
228	2
190	2
389	7
448	0
595	4
122	2
662	7
545	4
661	5
575	5
651	2
460	6
543	5
506	3
360	5
587	1
567	9
646	1
603	8
577	1
495	2
552	5
570	6
364	3
227	1
612	3
226	4
612	2
729	8
351	4
620	17
597	9
559	11
548	6
384	5
571	5
221	0
616	7
619	5
573	4
220	0
363	0
577	7
411	2
657	5
641	3
622	4
600	4
429	5
472	4
626	6
215	1
532	5
533	5
608	4
406	4
569	6
243	2
410	8
600	11
739	9
614	9
638	6
632	5
567	10
608	11
253	6
483	3
617	4
666	6
650	9
222	2
208	4
503	4
502	11
467	8
731	3
231	3
602	5
676	6
547	9
397	10
634	9
687	4
498	7
271	5
605	4
624	10
622	10
409	4
283	5
582	11
543	10
118	1
613	4
676	7
541	7
710	10
415	4
585	7
142	1
273	1
421	4
594	12
647	12
517	5
579	8
523	6
604	8
336	1
588	5
147	5
498	5
746	9
190	0
598	5
632	5
629	8
538	7
641	9
667	7
181	2
578	4
619	11
681	13
569	11
750	17
584	6
692	7
640	6
613	8
588	9
365	5
730	11
638	10
571	6
313	5
726	6
607	13
590	8
621	4
662	9
528	5
321	3
639	4
613	6
517	17
590	4
385	7
379	3
742	18
373	12
447	8
561	2
623	6
481	5
320	3
206	6
746	8
335	3
402	3
468	5
201	2
374	6
256	2
204	4
672	6
581	12
581	3
621	9
628	8
533	3
332	0
433	11
351	5
639	10
238	0
491	6
594	5
494	7
611	4
370	9
543	5
663	10
644	8
427	9
667	11
303	5
654	6
471	8
249	0
682	9
355	4
671	8
586	4
588	9
619	16
744	5
359	4
171	4
221	3
595	7
502	9
592	4
195	2
549	8
342	7
705	12
430	3
473	1
440	5
527	5
572	16
653	11
626	3
571	5
663	8
614	10
511	8
607	3
297	5
451	6
511	1
340	5
626	8
609	10
623	10
750	9
422	10
608	11
691	18
617	8
750	21
381	2
606	12
477	1
434	11
372	10
142	1
189	0
184	0
516	10
508	5
423	4
333	1
617	9
633	8
398	4
492	5
233	5
216	3
389	3
366	9
211	4
352	7
532	8
384	7
705	8
297	2
596	5
704	5
594	2
400	2
221	0
582	7
435	1
652	10
717	9
612	2
549	10
559	2
574	8
637	4
575	7
534	6
171	3
662	10
555	4
598	14
384	4
715	3
119	1
541	7
277	9
440	5
631	9
527	9
587	8
534	8
499	7
640	8
620	3
663	10
403	10
608	15
561	4
593	6
334	4
628	9
514	0
561	5
575	7
573	6
749	3
516	4
677	7
483	2
413	8
488	5
677	6
419	3
588	9
558	6
226	4
351	4
676	12
599	2
179	2
573	4
662	11
312	1
324	2
463	3
503	15
458	4
148	2
553	3
482	4
574	11
614	20
577	5
572	3
657	8
623	5
662	4
660	5
750	12
566	6
199	2
723	6
334	2
680	1
600	6
604	6
611	11
629	7
228	3
616	6
546	5
337	6
265	2
382	5
589	4
550	2
623	7
453	2
619	6
526	7
463	4
169	3
587	6
671	4
335	3
422	11
341	3
276	5
468	2
413	6
700	7
709	8
272	1
232	2
656	7
616	8
493	8
510	3
292	1
299	6
582	5
378	5
339	3
322	3
464	4
282	2
599	6
437	3
623	8
531	12
657	11
417	6
482	4
666	11
590	7
457	3
644	17
379	9
679	10
263	3
534	6
594	8
614	3
704	8
550	4
632	6
390	2
220	5
634	5
592	4
570	5
330	5
139	3
253	3
609	7
663	6
750	6
575	11
382	6
643	7
470	2
545	5
615	4
492	3
308	4
571	5
568	6
546	6
691	3
624	5
432	4
573	3
730	3
650	7
214	0
505	7
381	9
579	10
410	4
559	8
211	1
344	6
505	4
335	1
607	6
562	4
608	5
635	3
681	7
542	3
297	1
670	6
428	4
593	10
316	1
680	12
653	8
598	7
280	0
361	0
586	11
571	10
593	10
505	4
344	5
618	13
479	5
297	9
609	4
618	7
646	9
616	5
466	11
633	10
190	2
376	13
350	10
549	4
403	5
663	6
625	8
538	12
593	12
446	6
479	6
336	11
648	6
466	11
367	1
414	2
483	6
179	5
354	2
549	8
316	5
470	8
337	2
749	7
613	3
563	8
425	5
485	7
624	6
630	10
399	8
691	4
464	14
364	3
324	1
256	3
503	4
649	10
654	6
439	4
580	7
430	7
420	5
678	12
499	8
396	5
543	3
581	15
425	4
307	9
605	7
411	3
604	5
662	8
588	5
382	5
502	8
668	7
626	7
600	11
636	8
643	8
580	6
378	4
400	2
648	6
208	3
577	16
618	5
742	6
475	8
370	3
181	1
396	3
674	7
625	8
276	6
550	3
641	4
132	1
578	4
242	3
589	6
612	2
582	3
174	3
614	9
539	9
522	7
543	9
220	0
580	5
573	12
485	8
672	6
367	4
658	10
634	7
605	8
634	12
411	10
348	7
669	9
140	0
277	2
194	2
683	6
307	6
483	3
660	20
404	4
544	14
206	3
174	6
523	13
314	6
691	12
370	0
196	2
508	8
632	7
294	7
285	2
502	7
197	2
129	2
598	11
209	2
312	3
369	4
674	10
610	10
382	5
610	6
140	2
592	10
566	3
221	1
557	7
613	9
574	6
437	7
514	4
527	10
516	9
609	6
312	2
202	2
589	4
722	21
638	15
607	10
575	6
627	8
596	8
112	2
645	4
569	7
580	4
503	12
686	7
472	8
520	7
376	9
334	4
688	7
582	8
662	7
640	10
691	3
661	4
603	7
660	8
341	7
645	3
576	7
258	1
289	5
202	0
106	0
545	1
353	6
537	5
592	8
589	5
579	8
236	2
283	2
661	9
750	10
671	9
619	1
604	6
391	6
268	1
648	6
178	4
628	6
626	6
570	5
603	4
603	3
594	4
615	2
123	0
297	1
237	1
555	10
608	15
685	6
598	11
401	2
436	10
529	8
506	5
396	1
486	3
649	5
260	3
516	2
547	8
343	6
516	3
607	9
508	9
568	5
557	2
594	12
445	1
586	5
559	9
222	3
668	11
589	8
340	4
648	5
555	7
476	6
562	8
569	8
643	11
629	4
552	3
647	11
534	9
595	9
506	4
140	4
636	10
689	10
517	3
628	3
747	6
451	3
640	13
283	5
570	5
576	8
397	1
327	3
218	2
360	6
600	8
581	6
631	11
574	18
535	13
589	5
555	10
519	11
663	10
611	5
162	2
344	1
173	7
534	7
133	3
410	5
192	2
271	4
348	7
618	2
480	5
130	0
191	1
551	7
190	2
536	6
450	12
639	8
399	7
454	5
244	3
295	4
265	3
305	1
397	2
180	4
513	3
298	2
750	4
188	1
509	4
203	1
299	4
305	2
166	1
521	15
260	2
537	5
118	1
396	6
391	7
543	7
612	7
293	3
601	6
195	1
183	2
573	5
613	4
579	10
318	3
478	2
544	6
351	7
640	8
548	9
557	10
611	7
588	12
609	11
408	5
184	2
659	7
590	8
642	9
588	7
694	7
103	0
432	6
300	7
650	9
734	5
320	7
157	0
628	20
305	8
112	2
404	4
550	2
178	1
558	3
458	4
218	0
544	4
622	6
481	4
425	5
388	5
240	2
560	4
147	1
607	7
734	14
142	1
692	9
657	12
277	2
539	4
401	0
295	6
126	1
575	8
578	4
538	3
641	6
216	3
266	1
621	4
555	5
175	2
580	6
581	5
625	11
667	9
288	6
558	10
642	7
618	5
361	6
442	5
229	3
615	12
263	0
485	5
221	5
506	7
373	7
412	5
591	5
691	16
624	8
561	8
447	5
527	6
490	5
111	1
583	7
625	4
623	5
334	1
508	2
615	12
656	3
617	4
563	10
208	0
599	7
641	19
527	10
467	3
612	6
631	9
517	4
308	5
652	14
277	1
407	3
750	7
312	2
335	5
161	1
565	13
601	19
127	3
477	6
286	0
416	3
225	3
317	6
641	13
491	10
618	14
574	12
489	6
596	13
651	4
682	13
354	2
583	12
636	12
534	5
626	4
669	8
175	6
531	4
528	3
571	5
561	6
557	11
524	14
444	3
652	4
537	7
651	11
346	3
750	5
320	4
265	3
483	9
523	0
637	10
657	9
643	10
450	8
133	3
364	7
539	8
273	4
394	6
412	8
707	10
477	5
395	4
426	5
548	11
172	0
582	8
487	3
544	9
223	8
390	6
308	2
385	9
576	6
218	3
612	3
649	8
629	9
182	3
271	8
200	7
224	2
621	9
565	22
628	6
178	1
451	10
428	2
369	5
434	1
403	10
534	4
461	6
295	5
642	8
440	5
376	2
644	10
582	6
668	4
644	6
242	6
523	11
595	10
697	6
576	15
226	2
418	9
451	5
749	17
355	7
640	9
559	4
301	4
574	7
569	4
316	5
592	6
411	2
494	4
415	10
421	5
601	4
318	7
397	5
205	2
233	0
451	9
631	2
656	3
241	3
639	9
438	4
585	2
623	11
638	12
398	3
616	15
621	13
273	4
134	5
577	8
532	7
750	7
309	3
602	5
650	7
473	6
661	7
498	10
672	12
626	3
561	6
637	4
423	5
401	9
455	14
653	12
130	1
250	1
663	6
483	6
415	4
571	5
602	7
623	4
357	4
645	8
652	4
628	6
654	3
670	6
416	5
624	14
429	4
568	5
520	7
129	1
422	2
532	4
639	4
655	8
563	1
372	2
544	0
609	5
663	7
580	8
311	7
545	3
232	0
295	3
324	6
339	8
643	23
346	1
610	4
282	2
642	5
619	5
244	2
564	3
296	5
652	8
616	8
604	4
544	5
627	4
267	2
261	5
661	8
610	7
603	10
661	10
643	4
670	6
540	4
356	6
528	7
537	9
661	8
524	12
491	11
271	3
158	3
441	6
592	5
655	11
547	9
596	10
549	6
643	10
360	6
596	9
589	7
593	5
636	9
492	11
627	6
707	10
601	6
621	6
450	4
444	6
494	7
364	4
629	12
520	9
634	10
331	5
658	2
567	13
357	7
602	5
646	1
506	1
510	7
160	3
536	6
418	4
526	2
340	2
645	3
653	7
668	4
561	4
577	0
353	10
536	8
217	4
650	8
582	7
502	7
608	7
241	3
269	2
747	3
196	5
303	1
626	8
469	9
558	6
635	12
605	5
460	3
144	3
619	12
393	6
652	12
626	9
666	4
581	6
601	8
267	3
673	11
204	1
206	4
583	5
366	3
608	11
233	3
357	4
540	6
235	2
530	3
617	12
603	1
456	6
163	0
644	12
643	13
429	6
626	6
448	5
582	10
101	2
499	3
660	5
557	6
637	5
410	1
508	7
328	1
349	4
616	8
575	8
631	11
627	7
252	4
605	12
487	10
602	1
540	9
174	5
349	6
645	5
639	5
545	10
150	0
281	4
591	4
131	2
266	1
591	6
617	9
243	3
606	9
556	3
131	3
628	3
692	6
750	6
402	5
563	8
525	6
641	3
623	9
225	2
481	5
602	3
619	3
629	9
592	8
630	8
432	5
634	9
529	6
470	4
510	9
563	5
408	5
619	12
570	7
323	0
507	4
626	14
587	7
749	11
675	11
622	14
628	10
584	7
120	1
396	1
406	1
124	0
644	11
745	7
663	3
564	2
241	3
633	6
540	9
599	9
634	5
496	6
298	2
658	4
405	5
601	4
571	2
685	11
637	5
242	1
616	9
579	3
268	1
524	2
633	13
662	2
669	8
488	8
382	7
547	6
129	1
593	14
572	2
488	7
278	4
238	2
404	5
482	1
128	0
657	6
458	5
356	6
744	4
634	6
437	7
484	6
388	3
579	10
534	14
749	6
313	6
619	8
540	6
748	7
535	4
495	5
432	3
462	4
588	7
750	9
582	8
276	2
635	5
594	6
718	8
645	15
637	5
552	5
621	4
548	2
532	2
525	4
348	6
503	5
587	6
244	3
301	4
653	6
386	5
269	3
604	5
457	0
523	7
663	3
642	15
654	17
660	7
485	2
502	4
647	10
541	4
175	2
413	2
268	2
540	2
385	1
452	5
619	13
461	6
189	1
617	5
623	7
648	5
508	5
607	4
746	7
387	5
616	10
647	5
275	1
483	10
602	6
471	6
650	14
601	3
107	0
558	9
344	5
636	4
489	3
640	10
393	5
265	3
602	3
638	5
571	9
613	10
616	15
215	1
522	4
568	14
489	10
654	4
489	4
230	1
467	4
574	4
665	7
631	7
223	0
659	7
669	5
532	5
120	2
493	2
487	3
219	2
437	9
571	15
628	8
249	3
491	8
322	4
304	2
566	7
454	7
641	13
579	8
510	1
487	6
485	3
750	8
578	1
696	3
493	5
684	1
577	8
377	3
643	5
319	0
184	4
511	6
503	5
589	4
624	5
552	5
659	9
614	7
564	7
634	8
549	10
334	1
586	2
499	5
366	4
356	5
419	4
388	7
350	3
510	4
559	1
595	10
661	14
290	8
630	7
287	4
584	4
657	15
243	5
574	6
573	8
691	14
588	5
507	6
331	6
594	8
611	12
401	3
283	1
665	3
630	7
611	13
638	15
461	7
554	15
641	2
658	13
683	12
750	12
256	3
630	5
400	5
577	6
249	1
350	1
615	10
152	4
698	9
482	8
638	4
615	4
600	9
283	5
566	8
622	8
606	9
268	0
616	8
643	4
642	6
646	4
539	4
749	10
401	3
697	12
445	5
626	6
565	8
293	6
541	4
595	11
554	6
244	3
662	9
731	4
541	8
655	9
483	5
523	4
427	8
336	7
267	8
638	11
559	8
392	3
649	15
327	2
746	16
290	3
477	4
750	15
637	5
508	9
562	11
623	10
377	4
334	7
604	11
608	10
342	9
550	8
209	0
749	9
591	7
636	9
670	12
487	4
181	2
652	10
506	6
612	7
580	11
664	5
411	6
414	8
524	9
282	6
124	1
595	9
614	12
634	6
535	5
582	6
626	14
632	10
616	10
275	3
623	6
696	8
487	10
402	14
363	10
243	4
580	3
350	6
260	5
230	1
611	14
411	7
621	13
642	8
115	4
549	9
597	7
585	5
601	7
573	5
585	17
637	9
650	12
536	8
618	4
431	4
655	8
447	7
750	11
620	13
640	9
648	7
518	3
631	8
643	9
477	7
317	1
530	8
428	6
651	9
161	1
224	2
327	3
421	9
438	8
