,w_tau,w_theta,w_t,E Tau,E Theta,Tau Acceptance,Theta Acceptance,t Acceptance,Tau Estimate,Theta Estimate
0,0.02,0.02,0.004,0.0006179165060357705,0.000635196700149653,1.5858585858585859,6.737373737373737,0.006737373737373738,0.00401599367534608,0.003974856766498922
1,0.01,0.01,0.002,0.0006149375472792731,0.0006419484123161824,1.3535353535353536,10.383838383838384,0.010383838383838384,0.004028598424891053,0.003954251552360456
2,0.005,0.005,0.001,0.0006191451209663655,0.0006282478025481597,3.6262626262626263,30.80808080808081,0.030808080808080805,0.00401084343226592,0.0039949778102897375
3,0.004,0.004,0.0008,0.0006092602985222778,0.0006575893691884295,5.05050505050505,38.91919191919192,0.038919191919191916,0.004043071333626008,0.003907471992745378
4,0.003,0.003,0.0006,0.0006315137847998831,0.0006118441608474471,6.707070707070707,51.888888888888886,0.0518888888888889,0.003971636158083623,0.004051593476708616
5,0.002,0.002,0.0004,0.0005909921449330314,0.0007025487349623649,11.333333333333334,62.98989898989899,0.062989898989899,0.004104514469666269,0.003781551296323406
6,0.001,0.001,0.0002,0.0005962251409455432,0.0006619072522299341,22.32323232323232,76.8989898989899,0.07689898989898988,0.004078219219363838,0.0039019821106195795
7,0.0008,0.0008,0.00016,0.0005860399622079364,0.0007060009973053865,28.383838383838384,82.13131313131314,0.08213131313131311,0.004111533097839723,0.003781342480669901
8,0.0006,0.0006,0.00012,0.0006002914408348064,0.0006790042855749939,36.282828282828284,85.22222222222223,0.08522222222222221,0.004042234341797437,0.0038580484169599065
