,w_tau,w_theta,w_t,E Tau,E Theta,Tau Acceptance,Theta Acceptance,t Acceptance,Tau Estimate,Theta Estimate
0,0.005,0.005,0.001,0.008390181256696097,4.6029452682606333e-07,7.010033444816053,45.7056856187291,0.045705685618729085,0.00034523808854636495,0.049284143750297056
1,0.004,0.004,0.0008,0.20103091585781974,1.6402822851594566e-07,3.8528428093645486,48.7056856187291,0.048705685618729094,6.272201243846634e-05,0.08249378254975148
2,0.003,0.003,0.0006,0.26996604624221576,1.1631900269354027e-07,3.37123745819398,50.61204013377927,0.05061204013377926,3.746249533073406e-05,0.09800739320563821
3,0.002,0.002,0.0004,0.45615716501956094,1.1010308218767329e-07,3.0301003344481607,53.76588628762542,0.05376588628762542,2.22546963728789e-05,0.10074186353338371
4,0.001,0.001,0.0002,0.45945370264694835,1.0416621907820561e-07,4.916387959866221,57.87290969899666,0.05787290969899666,1.704185458424371e-05,0.10359794282082055
5,0.0008,0.0008,0.00016,0.2822424549416355,1.1045162916423872e-07,6.377926421404682,58.96321070234114,0.058963210702341146,2.502046332949545e-05,0.10061437671547145
6,0.0006,0.0006,0.00012,0.3234952513185834,1.1294614350702355e-07,7.11371237458194,60.79598662207358,0.06079598662207358,2.2611583668040332e-05,0.09949782500307434
