,w_tau,w_theta,w_t,E Tau,E Theta,Tau Acceptance,Theta Acceptance,t Acceptance,Tau Estimate,Theta Estimate
0,0.005,0.005,0.001,0.01420187876085199,1.1579480075695779e-05,10.858585858585858,44.2020202020202,0.04420202020202021,0.0007947075650640918,0.029647884142367745
1,0.004,0.004,0.0008,0.20290071686658534,4.12321966009247e-06,8.606060606060606,47.77777777777778,0.04777777777777778,0.0001767826650084498,0.04954061132433159
2,0.003,0.003,0.0006,0.4031784653588487,3.166238236094326e-06,7.757575757575758,49.4040404040404,0.0494040404040404,0.00010782495898261008,0.05657451774412649
3,0.002,0.002,0.0004,0.5392527689900221,2.833608411967869e-06,8.404040404040405,52.292929292929294,0.05229292929292929,6.955685298059539e-05,0.05988690472465371
4,0.001,0.001,0.0002,0.5240162840445228,2.7479547030279854e-06,11.262626262626263,56.77777777777778,0.05677777777777778,4.646045956338379e-05,0.06085514961780341
5,0.0008,0.0008,0.00016,0.46957403126872677,2.868924299036632e-06,15.383838383838384,58.101010101010104,0.05810101010101012,5.525944105931435e-05,0.059582645354760204
6,0.0006,0.0006,0.00012,0.2698885912832075,2.9677123565817485e-06,20.404040404040405,60.09090909090909,0.0600909090909091,8.284702930531181e-05,0.058593211046298985
